formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2S2Se4Te1,5.545434444,7.581486667,34.42616,-0.348557458,-1.113012778,-1.667788571,2.590908889,2.099636667,1.266596933,1.13108,0.80422,-41.38034667,2.24478,1.809238889,1.13519125,-2.758366667,-3.163323542,-3.028786667,2.957702857,-6.121026399,-4.070715635,3.0
Fe2S3Se1Te3,5.624918556,8.141942222,34.58108,-0.285566417,-0.994072222,-1.592771905,2.389449444,1.748501667,1.174643867,0.842238333,0.692822222,-40.43332222,2.2658,1.609048333,1.163005583,-2.551383333,-2.963546458,-2.702307778,3.239596286,-6.203142744,-4.233668508,3.0
Fe2S3Se2Te2,5.390846667,7.353031667,34.117395,-0.326484542,-1.005964444,-1.674297143,2.70322,2.140114167,1.3659696,1.294055,0.897038333,-41.83197833,2.689316667,2.00812,1.346089333,-2.823348,-3.358889583,-3.243632222,2.818210476,-6.17710006,-3.824174921,3.0
Fe2S3Se3Te1,5.519301667,7.448401667,34.098305,-0.375196667,-1.054769444,-1.67464381,2.677135556,2.20098,1.416009933,1.161928333,0.836766111,-42.5288,2.48732,1.965136111,1.375027917,-2.894686667,-3.314470417,-3.187873333,2.948467143,-6.26293756,-4.003236587,3.0
Fe2S4Se1Te2,5.421617778,7.269935,33.82667,-0.360804958,-1.041031111,-1.683950952,2.738259444,2.191794167,1.4611426,1.435271667,0.906408333,-42.78314611,2.724486667,2.075798889,1.407056833,-2.904844,-3.416605,-3.299970556,2.818521429,-6.235126429,-3.85955254,3.0
Fe2S4Se2Te1,5.387709444,7.004209444,33.5098,-0.383185306,-1.066656111,-1.71403381,2.835750556,2.358049167,1.559930267,1.340065,0.926097778,-43.79487889,2.865366667,2.211962778,1.44706,-3.031933333,-3.398580417,-3.407773333,2.89503381,-6.293614226,-3.961689921,3.0
Fe2S5Se1Te1,5.249326667,7.109296111,33.68629,-0.376217611,-1.068959444,-1.72199,2.887451667,2.486446667,1.5947066,1.377938333,0.954364444,-45.09515889,2.894236667,2.377033889,1.5230625,-3.13448,-3.402358333,-3.474607222,2.890177143,-6.292535476,-3.959136587,3.0
Ru2O1S1Se5,4.468685,7.96256,32.07364,-0.416577306,-1.356776667,-2.191721429,2.531006667,1.927628333,1.312090667,1.3352,0.919639444,-55.14856889,2.23894,1.587961111,1.212295,-2.757148,-3.17865625,-3.268620556,2.813781905,-5.992438155,-4.170558571,3.0
Ru2O1S2Se4,4.276127778,7.870065,31.67571,-0.455635931,-1.448001111,-2.203760952,2.633373333,2.003654167,1.369535667,1.393776667,0.941854444,-54.72171,2.28917,1.636354444,1.287845,-2.856962,-3.21224125,-3.417047222,2.846600476,-6.058841726,-4.294601587,3.0
Ru2O1S3Se3,4.399166111,7.804531667,30.00778667,-0.477701347,-1.345842222,-2.234376667,2.718695,2.167431667,1.454192333,1.495571667,0.963651111,-55.41007333,2.24268,1.769266111,1.444324167,-2.997160667,-3.32462625,-3.587478889,2.891592857,-6.216219107,-4.237435079,3.0
