formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Mn2S2Se1Te4,5.336594167,8.057112778,36.165585,-0.301556931,-0.981196667,-1.667097143,2.390057222,1.305558333,1.2228515,0.971328333,0.588526667,-36.94634667,2.170366667,1.307284444,1.220186,-2.551604,-2.532806667,-2.398753889,3.353429524,-5.88623619,-4.33462619,3.0
Mn2S2Se2Te3,5.140599167,7.927774444,36.05268,-0.299136014,-0.973481667,-1.742884762,2.370815556,1.4691775,1.285644667,1.095283333,0.608464444,-37.52948333,2.223346667,1.404635556,1.174753333,-2.66088,-2.562208958,-2.539656667,3.344696667,-5.906905625,-4.318178333,3.0
Mn2S2Se3Te2,4.803154722,7.890481111,34.210885,-0.318354472,-1.093091667,-1.937481429,2.670217778,1.79377,1.316973667,1.169786667,0.71284,-38.79722556,2.434726667,1.523237778,1.252010833,-2.865976667,-2.835685625,-2.871969444,2.89825619,-5.733941815,-3.991347857,3.0
Mn2S2Se4Te1,4.806430278,7.752365,33.46295,-0.322610681,-1.139551667,-1.942397143,2.782779444,1.967961667,1.455504667,1.193413333,0.730612222,-39.93746111,2.589256667,1.620908333,1.320480833,-3.011276667,-2.900126458,-2.983866667,2.912485714,-5.812612173,-4.052037381,3.0
Mn2S3Se1Te3,4.891543611,8.148792778,34.46949,-0.324674222,-0.909265,-1.781609524,2.535049444,1.686391667,1.338589667,1.096503333,0.624115556,-38.61165833,2.441866667,1.483658333,1.2828,-2.804084667,-2.710891875,-2.751585,3.304647143,-6.015539018,-4.213912143,3.0
Mn2S3Se2Te2,4.726988889,7.55607,33.42994,-0.326267097,-1.044933333,-1.921011429,2.857891667,2.068510833,1.533255333,1.44709,0.871021667,-40.10827778,2.867753333,1.885161111,1.438419167,-3.055515333,-3.096329375,-3.203148889,2.83497381,-5.931303185,-3.879907143,3.0
Mn2S3Se3Te1,4.762326944,7.752535,32.75264,-0.330865861,-1.080476667,-1.972569048,2.885016111,2.017005,1.562064333,1.327378333,0.753055,-40.46633389,2.698236667,1.713116667,1.478719167,-3.184328667,-3.052394792,-3.095103889,2.911408571,-5.963803363,-3.991885238,3.0
Mn2S4Se1Te2,4.561582222,7.538806667,33.077945,-0.358608111,-1.04976,-1.912880952,2.929998333,2.090640833,1.572781,1.551483333,0.873143333,-41.23120389,2.979173333,1.954191111,1.513571667,-3.185736,-3.171872708,-3.259066667,2.839975238,-6.011847946,-3.889735238,3.0
Mn2S4Se2Te1,4.758583889,7.542063333,32.550245,-0.340446194,-1.10283,-1.999115238,3.061098333,2.441335,1.663696667,1.533846667,0.873188333,-42.47979833,2.994136667,2.104784444,1.481565,-3.322454667,-3.262008542,-3.383313333,2.866202381,-6.128210923,-3.969032381,3.0
Mn2S5Se1Te1,4.751077778,7.643805,32.86221,-0.366626611,-1.135861667,-2.011532857,3.012939444,2.4606375,1.682846,1.567368333,0.871801667,-44.15490167,2.992546667,2.254713889,1.4742325,-3.492356667,-3.244092708,-3.415358889,2.856572381,-6.100665089,-3.992434048,3.0
