Formula,Area of unit-cell
Cu2O2,12.3235
Cu2O4S,25.07
Cu2O6Si2,25.822
Cu2P2S6,30.173
Cu2P2Se6,33.536
Cu2P2Te6,38.642
Cu2PtC6N8,51.604
Cu2ReBr6,37.913
Cu2ReCl6,35.815
Cu2ReF6,28.728
Cu2ReI6,45.524
Cu2S,14.565
Cu2S2,14.521
Cu2S4,31.604
Cu2S4Sb2,23.421
Cu2Sb2Se4,26.047
Cu2Se2,14.281
Cu2Se4,35.368
Cu2Sr2,16.261
Cu2Te2,14.7482
Cu2Te4,31.04
Cu2WO4,41.691
Cu2WS4,29.952
Cu2WSe4,31.484
Cu2WTe4,34.016
Cu3O4P,33.159
Cu4Cl4H4O4,34.606
Cu4Cl4O4,33.875
Cu4F4H4O4,34.609
Cu4Li2V2O12,57.36
Cu4O12Te2,49.238
Cu4O12Te4,70.24
CuBr,14.529
CuBr2,12.304666666666668
CuC6H4N6O2,39.108
CuCl2,11.206000000000001
CuF2,13.909
CuH2,5.589
CuH2O2,9.038
CuI2,13.958
CuInP2Se6,36.015
CuLi2,6.644
CuLi2O2,14.938
CuO2,8.995
CuS2,9.684666666666667
CuSe2,10.318666666666667
CuSr2Br2O2,16.0
CuSr2Br2S2,20.673
CuSr2Cl2O2,15.64
CuSr2Cl2S2,20.491
CuSr2I2O2,16.545
CuSr2I2S2,21.155
CuTe2,11.372666666666667
CuV2O6,32.156
F2Ge,14.847
F2Ge2,15.645
F2Sb,9.45
F2Sb2,9.306
F2Si2,13.473
Fe2Br2,12.0775
Fe2Br2N2,12.087
Fe2Br2O2,12.203
Fe2Br6,36.7495
Fe2Cl2,10.775
Fe2Cl2O2,11.816
Fe2Cl6,33.027
Fe2F2,9.1685
Fe2F2O2,11.868
Fe2Ga2S5,11.4055
Fe2H2O4,9.844
Fe2I2,14.065999999999999
Fe2I2O2,14.006
Fe2I2S2,15.488
Fe2I6,43.1555
Fe2In2Se5,13.905
Fe2Li2As2,14.072
Fe2Li2P2,13.421
Fe2Li2Sb2,14.808
Fe2Mg2Ge2,14.038
Fe2Mg2Si2,15.454
Fe2Mo2Cl2O8,45.2
Fe2Na2P2,14.043
Fe2O2,10.081
Fe2O4,10.676
Fe2P2S6,30.465
Fe2P2Se6,33.956
Fe2P2Te6,38.629
Fe2S2,11.2305
Fe2S4,17.184
Fe2Se2,14.241166666666667
Fe2Se4,28.177
Fe2Sr2Ge2,15.175
Fe2Sr2Si2,16.496
Fe2Sr3Br2O5,15.527
Fe2Sr4Br2O6,15.644
Fe2Ta2Te6,36.005
Fe2Te2,13.544599999999999
Fe2Te4,33.07
Fe2Te6,21.438
Fe2W2Cl2O8,45.601
Fe3GeTe2,14.248
Fe3S4,8.835
Fe3Se4,10.723
Fe4S8,33.126
FeBr2,12.729
FeCl2,11.43
FeF2,7.038
FeGa2S4,11.29
FeH2,5.241
FeH2O2,8.049
FeHfBr6,36.005
FeHfCl6,31.754
FeHfF6,23.288
FeHfI6,42.992
FeI2,14.749666666666664
FeLi2,6.13
FeMn2C6N6,52.924
FeO2,7.420999999999999
FeS2,9.843333333333334
FeSe2,10.881666666666666
FeSn2C6N6,46.643
FeTe2,11.050333333333334
FeZn2C6N6,51.314
FeZrBr6,35.998
FeZrCl6,31.8
FeZrF6,22.977
FeZrI6,43.304
Ga2Br2,34.078
Ga2Br2N2,12.702
Ga2Br2O2,13.105
Ga2Br2S2,18.178
Ga2Br2Se2,19.923
Ga2Br6,38.7725
Ga2Cl2,32.255
Ga2Cl2N2,12.293
Ga2Cl2O2,12.678
Ga2Cl2S2,17.66
Ga2Cl2Se2,19.37
Ga2Cl2Te2,24.752
Ga2Cl6,34.564499999999995
Ga2F4H10N4,28.495
Ga2Ge2Te2,14.675
Ga2H2O8Se2,28.25
Ga2I2,35.962
Ga2I2N2,13.193
Ga2I2O2,13.903
Ga2I2S2,18.895
Ga2I2Se2,20.659
Ga2I6,45.338
Ga2In2S6,23.839
Ga2Mn2S5,11.871
Ga2MnS4,12.075
Ga2NiS4,11.638
Ga2O2,13.309
Ga2P2,16.331
Ga2P2Se6,37.857
Ga2P2Te6,43.088
Ga2S2,16.111333333333334
Ga2S4,30.438
Ga2Se2,16.69775
Ga2Se4,43.631
Ga2Te2,20.4105
Ga2Te3,23.578
Ga2Te4,46.149
Ga2Y2I2,15.392
GaAs,14.505500000000001
GaBr2,15.468333333333334
GaC,10.127
GaCl2,14.383666666666668
GaF2,12.551
GaH2O2,10.109
GaI2,17.462999999999997
GaN,9.252
GaNi5Br2,13.38
GaNi5Cl2,12.99
GaNi5I2,14.335
GaO2,10.241
GaP,13.345
GaPd5Br2,16.319
GaPd5Cl2,15.947
