Formula,Valence band maximum (HSE06)
Ir2Br2S2,-1.704
Ir2Br2Se2,-1.706
Ir2Br6,-2.919
Ir2Cl2O2,-1.662
Ir2Cl2S2,-2.191
Ir2Cl2Se2,-2.172
Ir2Cl6,-3.7039999999999997
Ir2I2O2,0.078
Ir2I2S2,-0.695
Ir2I2Se2,-0.781
Ir2I6,-1.9425000000000001
Ir2Nb2Te8,-1.963
Ir2O2,-0.605
Ir2P2S6,-1.467
Ir2P2Se6,-1.14
Ir2P2Te6,-0.475
Ir2S2,0.1845
Ir2Se2,0.6313333333333334
Ir2Ta2Te8,-1.924
Ir4S8,-2.468
Ir4Se8,-1.915
Ir4Te8,-1.045
K2Br2,-5.851
K2C2H2O6,-5.849
K2C4H6O6,-5.558
K2Cl2,-6.278
K2Cl2O6,-6.16
K2F2,-6.973
K2I2,-5.144
K2N2O6,-6.33
K2Os2F10N2O2,-5.922
Li2Cl2O4,-5.568
Li2F2O2,-6.958
Li2F2S2,-4.779
Li2H2O2,-5.716
Li2H2S2,-4.796
Li2H4N2O6,-6.058
Li2PtH6O6,-4.939
Li4O8Sb4,-4.465
Li6H2O8Te2,-5.174
Mg2Cl4,-7.125
Mg2Mo2O12Te2,-6.109
Mg2P2S6,-5.3
Mg2P2Se6,-4.552
MgB2H8,-7.809
MgBr2,-4.933
MgCl2,-6.701666666666667
MgF2O2,-6.968
MgF2S2,-5.224
MgH2O2,-4.607
MgH2S2,-3.708
MgI2,-3.1975
MgNa2H4O8S2,-5.306
Mn2Cl2N2,-3.109
Mn2Cl6,-2.245
MnBr2,-4.567
MnCl2,-5.161
MnI2,-3.2365
MnO2,-6.325
MnS2,-2.327
MnZrI6,-3.187
Mo2Br4O4,-5.929
Mo2Cl6,-3.0105
Mo2I6,-2.635
Mo2O10P2,-5.471
Mo2O6,-7.341
Mo2P2S6,-0.333
Mo2P2Se6,-0.91
Mo2S4,-1.9445000000000001
Mo2Se4,-0.732
Mo2Ta2O11,-7.58
Mo2W2S8,-1.25
Mo2W2Se8,-0.523
Mo2W2Te8,0.129
Mo2Zn2O12Te2,-6.059
Mo2Zn2O8,-6.841
Mo2ZrO8,-8.349
Mo3WS8,-1.354
Mo3WSe8,-0.624
Mo3WTe8,0.036
MoO2,-2.856
MoOS,-1.859
MoOSe,-1.225
MoOTe,-0.372
MoS2,-1.454
MoSSe,-1.095
MoSTe,-0.32999999999999996
MoSe2,-0.725
MoSeTe,-0.341
MoTe2,-0.053
MoW3S8,-1.137
MoW3Se8,-0.412
MoW3Te8,0.233
Na2B2H8O8,-6.661
Na2C2N2S2,-5.135
Na2F2O2,-6.636
Na2F2S2,-3.493
Na2H2O2,-5.3325
Na2H2S2,-4.923
Na2H8I2O4,-5.479
Na2Nb2Cl12,-6.82
Na2PtH6O6,-5.12
Na2SnH6O6,-6.495
Na4As4O8,-5.19
Nb2Br4O2,-4.137
Nb2Br4S4,-4.09
Nb2Br4Se4,-3.656
Nb2Cl4S4,-4.106
Nb2Cl4Se4,-3.621
Nb2I2O4,-3.311
Nb2I4O2,-3.451
Nb2P2S6,0.08
Nb3Br7S,-3.792
Nb3Br8,-2.833
Nb3Cl7Te,-3.665
Nb3Cl8,-2.906
Nb3I7Te,-3.085
Nb3I8,-2.343
Nb4Ge2Te8,-2.119
Nb4I2Te12,-2.924
Nb4O8,-2.578
Nb4S12,-2.029
Nb4Si2Te8,-2.137
Ni2S4,-4.063
Ni2Se4,-3.849
Ni2Ta4Se10,-2.966
Ni2Te4,-3.124
NiBr2,-4.25
NiCl2,-4.8580000000000005
NiH2O2,-2.974
NiI2,-2.386
NiO2,-6.888
NiRe2O8,-7.065
NiS2,-2.698
NiSe2,-1.632
NiZrCl6,-5.236
O14S2Te4,-7.105
O4S8Sb8,-4.39
O8P2Sb2,-6.283
O8Te4,-5.011
OS2Sb2,-2.231
OSb2Se2,-1.696
OSb2Te2,-0.872
Os2O4,-2.981
Os2P2S6,-1.629
Os2P2Te6,-1.176
Os2S4,-2.3625
Os2Se4,-1.9914999999999998
Os2Te4,-1.482
OsBr2,-1.666
OsCl2,-1.857
OsH2O2,-1.076
OsI2,-1.032
P2,-5.153
P2Sb2Se6,-2.001
P2Sb2Te6,-1.281
P4,-2.168
P8Si4,-4.174
Pb2Br2,-0.996
Pb2Cl2,-1.265
Pb2F2,-1.424
Pb2I2N2,-2.12
Pb2O2,-3.0495
Pb2P2S6,-3.077
Pb2P2Se6,-2.581
Pb2P2Te6,-1.875
Pb2S2,-2.013
Pb2S4,-2.818
Pb2Se2,-1.9793333333333336
Pb2Se4,-2.42
Pb2Se6,-1.876
Pb2Te2,-1.85775
Pb2Te4,-1.775
Pb2Te6,-0.978
Pb4O4,-4.164
PbBr2,-4.84
PbCl2,-5.364
PbF2,-5.708
PbH2O2,-3.073
PbI2,-3.696
PbO,-4.179
PbO2,-6.303666666666667
PbS,-3.69
PbS2,-3.8623333333333334
PbSb2Te4,-1.717
PbSe,-3.261
PbSe2,-3.0963333333333334
PbTe,-2.432
PbTe2,-2.425
Pd2Cl2N2,-3.238
Pd2F2,-5.311
Pd2I4O12,-5.289
Pd2N4O12,-7.03
Pd2O6Se2,-4.9045000000000005
Pd2P2S6,-1.66
Pd2S4,-3.716
Pd2Se4,-3.45
Pd2Te4,-2.855
Pd3P2S8,-5.701
Pd4I8,-5.129
Pd4P4S4,-4.208
Pd4P4Se4,-3.959
Pd4Tl2Se6,-3.475
PdBr2,-3.642
PdCl2,-4.339
PdO2,-4.817
PdS2,-2.4195
PdSe2,-1.589
Pt2Br2N2,-1.89
Pt2Cl2,-2.332
Pt2Cl2N2,-2.533
Pt2I2N2,-0.549
Pt2O2,-4.215
Pt2P2S6,-0.939
Pt2P2Se6,-1.508
Pt2S4,-3.557
Pt2Se2,-1.013
Pt2Se4,-3.273
Pt2Te4,-2.735
Pt4I8,-4.611
Pt4Tl2S6,-3.706
Pt4Tl2Se6,-3.44
Pt4Tl2Te6,-2.812
PtBr2,-2.772
PtCl2,-3.362
PtO2,-4.851
PtS2,-3.218
PtSe2,-2.169
PtTe2,-0.68
Rb2Br2,-5.598
Rb2Cl2,-6.012
Rb2F2,-6.455
Rb2I2,-4.961
Re2I6,-1.026
Re2O2,-0.311
Re2S2,0.294
Re2ZnO8,-8.501
Re4O8,-3.324
Re4S8,-1.777
Re4Se8,-0.957
Re4Te8,-0.129
Re6Cl2Se8,-4.059
Rh2Br2O2,-1.743
Rh2Br2S2,-2.384
Rh2Br2Se2,-2.267
Rh2Br6,-3.7845
Rh2Cl2O2,-2.363
Rh2Cl2S2,-2.936
Rh2Cl2Se2,-2.829
Rh2Cl2Te2,-4.415
Rh2Cl4,-3.275
Rh2Cl6,-4.647
Rh2I2S2,-1.304
Rh2I6,-2.2385
Rh2O2,-2.259
Rh2P2Se6,-0.89
Rh2P2Te6,-0.342
Rh2S2,-0.23
Rh2Se2,0.28
Rh2Ta2Te8,-2.027
Rh4S8,-2.999
Rh4Se8,-2.218
Ru2F8,-8.029
Ru2O4,-3.574
Ru2P2S6,-1.864
Ru2P2Se6,-1.584
Ru2P2Te6,-1.333
Ru2S4,-2.848
Ru2Se4,-2.393
Ru2Te4,-1.67
RuBr2,-2.351
RuCl2,-2.4915000000000003
RuF2,-3.382
RuH2O2,-0.929
RuI2,-1.635
S2Sb2,-0.023
S2Sb2Se,-1.45
S2Sb2Te,-1.319
S2Si,-3.319
S2Si2,-2.69
S3Sb2,-1.503
S8Si4,-5.767
SSb2Se2,-1.066
SSb2Te2,-0.524
Sb2,-2.072
Sb2Se2,-0.6385
Sb2Se2Te,-0.897
Sb2Se3,-0.996
Sb2SeTe2,-0.427
Sb2Te3,-0.287
Sc2Br2O2,-4.153
Sc2Br2S2,-3.783
Sc2Br2Se2,-3.052
Sc2Br6,-5.2669999999999995
Sc2CCl2,-3.626
Sc2CF2,-1.552
Sc2CH2O2,0.663
Sc2Cl2O2,-5.546
Sc2Cl2S2,-3.923
Sc2Cl2Se2,-3.098
Sc2Cl6,-6.357
Sc2I2O2,-1.98
Sc2I2S2,-2.768
Sc2I2Se2,-2.467
Sc2I6,-3.413
Sc2O13Te5,-5.531
Sc2O2,-0.357
Sc2P2S6,-2.018
Sc2P2S8,-5.235
Sc2P2Se6,-1.444
Sc2S2,-1.221
Sc2Se2,-0.954
Sc2Te2,-0.36550000000000005
Sc4I4O4,-3.417
Sc4S6,-4.259
ScBr2,-0.367
ScCl2,-0.521
ScH2,-1.757
ScI2,0.227
ScO2,-6.318
ScS2,-3.664
ScSe2,-3.034
Se2Si,-2.323
Se2Si2,-2.205
Si2,-2.545
Si2Te2,-0.17
Sn2,-2.221
Sn2Br2N2,-2.98
Sn2C2H6O6P2,-4.996
Sn2Cl2,-0.602
Sn2Cl2N2,-3.381
Sn2F2,-4.898
Sn2F2O6P2,-5.917
Sn2H2,-3.078
Sn2H2O6P2,-5.526
Sn2I2N2,-1.765
Sn2O2,-4.366
Sn2P2S6,-2.589
Sn2P2Se6,-2.123
Sn2P2Te6,-1.423
Sn2S2,-1.6600000000000001
Sn2Se2,-1.474
Sn2Se4,-2.0
Sn2Te2,-1.2469999999999999
Sn2Te4,-1.323
SnBr2,-4.288666666666667
SnCl2,-4.692333333333333
SnF2,-4.364
SnF4,-10.335
SnH2O2,-2.168
SnI2,-3.2793333333333337
SnO,-3.713
SnO2,-6.5040000000000004
SnS,-3.88
SnS2,-3.6266666666666665
SnSe,-3.513
SnSe2,-2.696333333333333
SnTe,-2.68
SnTe2,-2.228
Sr2Br2H2,-5.282
Sr2Cl4O8,-4.589
Sr2F2I2,-4.58
Sr2H8O6,-6.031
Sr2O12P4,-8.006
SrBr2,-5.807666666666667
SrCl2,-6.5360000000000005
SrF2,-8.497
SrF2O2,-6.356
SrH2O2,-4.894
SrH2S2,-4.118
SrI2,-4.492
Ta2I4O2,-3.205
Ta2P2Se6,-1.315
Ta2P2Te6,-0.732
Ta3I7Se,-2.98
Ta3I7Te,-2.877
Ta4O8,-2.362
TaO2,-2.905
Ti2Br2,0.594
Ti2Br2N2,-2.738
Ti2Br6,-2.289
Ti2CO2,-1.294
Ti2Cl2,0.749
Ti2Cl2N2,-3.044
Ti2Cl4,-0.973
Ti2I2N2,-0.635
Ti2I4,0.137
Ti2I6,-1.85
Ti2O4,-6.281
Ti2O6,-4.785
Ti2S2,-0.312
Ti2S6,-0.778
Ti2Se2,-0.172
Ti2Se6,0.108
Ti2Te2,0.5365
Ti2Zr2S8,-3.423
Ti2Zr2Se8,-2.625
Ti2Zr2Te8,-1.249
Ti3C2O2,-0.101
Ti3N2O2,1.553
Ti3ZrS8,-3.45
Ti3ZrSe8,-2.458
Ti3ZrTe8,-1.136
TiBr2,0.105
TiBrCl,-0.067
TiBrI,0.494
TiCl2,-0.241
TiClI,0.285
TiH2,-2.36
TiI2,0.793
TiO2,-6.572333333333333
TiS2,-3.4256666666666664
TiSSe,-2.0065
TiSTe,-0.967
TiSe2,-2.2769999999999997
TiSeTe,-0.983
TiTe2,-1.827
TiZr3S8,-3.509
TiZr3Se8,-2.752
TiZr3Te8,-1.379
Tl2Br2,-4.276
Tl2Br2O2,-4.142
Tl2Br6,-5.316000000000001
Tl2Cl2,-4.388
Tl2Cl2O2,-4.858
Tl2Cl4,-5.444
Tl2Cl6,-6.4079999999999995
Tl2I2,-3.7115
Tl2I2O2,-2.295
Tl2I2S2,-2.675
Tl2I6,-3.6609999999999996
Tl2O6Sb2,-4.717
Tl2S2,-2.7615
Tl2Se2,-2.3275
Tl2Te2,-1.6705
V2F2,0.249
V2F8,-7.608
V2H4O10Se2,-4.418
V2I2,1.429
V2O10P2,-7.633
V2S2,-0.723
V2Se2,-0.3525
V2Te2,-0.735
V4F12O4,-9.812
V4O10,-8.122
V4O8,-4.747
VBr2,-2.827
VBr2O,-5.605
VBrCl,-3.139
VBrI,-2.806
VCl2,-2.964
VCl2O,-5.997
VClI,-2.8
VI2,-2.31
VSe2,-1.328
VSeTe,-0.797
VTe2,-0.69
W2Br6,-0.633
W2Cl4O4,-7.276
W2Cl6,-1.1255
W2I6,-1.0975000000000001
W2O12Sb4,-4.835
W2O2,-0.413
W2P2S6,-1.247
W2P2Se6,-0.801
W2Se4,-0.561
W2Te2,2.415
W2Te4,0.288
WO2,-2.485
WOS,-1.596
WOSe,-1.023
WOTe,-0.267
WS2,-1.023
WSSe,-0.674
WSTe,-0.05949999999999998
WSe2,-0.303
WSeTe,0.053
WTe2,0.332
Y2Br6,-5.564
Y2CF2,-0.867
Y2CH2O2,0.684
Y2Cl2O2,-6.239
Y2Cl6,-6.645
Y2I6,-4.0009999999999994
Y3N2O2,-1.442
YBr2,-0.554
YCl2,-0.746
YI2,0.171
Zn2As4O8,-4.906
Zn2Ge2O6,-6.309
Zn2H4O8Se2,-5.878
Zn2H8N4Te2,-2.286
Zn2I2,-2.294
Zn2O6Si2,-5.939
Zn2P2S6,-3.19
Zn2P2Se6,-2.447
Zn2P2Te6,-1.359
Zn2S2,-4.051
Zn2S4,-3.432
Zn2Se2,-4.074
Zn2Se4,-3.197
Zn2Te2,-1.891
Zn2Te4,-2.596
ZnBr2,-4.850666666666666
ZnCl2,-5.979333333333334
ZnF2,-9.275
ZnH2O2,-4.196
ZnI2,-3.15
Zr2Br2,0.837
Zr2Br2N2,-3.3295
Zr2Br4,-0.719
Zr2CO2,-0.872
Zr2Cl2,1.148
Zr2Cl2N2,-3.6805
Zr2Cl4,-0.874
Zr2Ge2Te8,-2.519
Zr2I2,0.926
Zr2I2N2,-1.6625
Zr2I4,-0.09
Zr2O6,-4.383
Zr2P2S6,-2.501
Zr2P2Se6,-1.786
Zr2S2,0.175
Zr2S6,-1.624
Zr2Se2,0.158
Zr2Se6,-0.581
Zr2Te10,-2.27
Zr2Te2,0.3506666666666667
Zr3C2F2S2,1.446
Zr3C2O2,0.187
