Formula,Thermodynamic stability level
FeBr2,2.6666666666666665
FeCl2,2.6666666666666665
FeF2,2.0
FeGa2S4,3.0
FeH2,1.0
FeH2O2,2.0
FeHfBr6,3.0
FeHfCl6,3.0
FeHfF6,2.0
FeHfI6,3.0
FeI2,2.3333333333333335
FeLi2,1.0
FeMn2C6N6,1.0
FeO2,2.6666666666666665
FeS2,2.0
FeSe2,2.3333333333333335
FeSn2C6N6,1.0
FeTe2,2.3333333333333335
FeZn2C6N6,1.0
FeZrBr6,3.0
FeZrCl6,3.0
FeZrF6,2.0
FeZrI6,3.0
Ga2Br2,3.0
Ga2Br2N2,1.0
Ga2Br2O2,3.0
Ga2Br2S2,3.0
Ga2Br2Se2,3.0
Ga2Br6,2.5
Ga2Cl2,3.0
Ga2Cl2N2,2.0
Ga2Cl2O2,3.0
Ga2Cl2S2,3.0
Ga2Cl2Se2,3.0
Ga2Cl2Te2,3.0
Ga2Cl6,3.0
Ga2F4H10N4,3.0
Ga2Ge2Te2,3.0
Ga2H2O8Se2,3.0
Ga2I2,3.0
Ga2I2N2,1.0
Ga2I2O2,3.0
Ga2I2S2,3.0
Ga2I2Se2,3.0
Ga2I6,2.5
Ga2In2S6,3.0
Ga2Mn2S5,3.0
Ga2MnS4,3.0
Ga2NiS4,3.0
Ga2O2,2.5
Ga2P2,1.0
Ga2P2Se6,3.0
Ga2P2Te6,1.0
Ga2S2,2.6666666666666665
Ga2S4,1.0
Ga2Se2,2.5
Ga2Se4,2.0
Ga2Te2,2.5
Ga2Te3,1.0
Ga2Te4,1.0
Ga2Y2I2,3.0
GaAs,1.0
GaBr2,2.3333333333333335
GaC,1.0
GaCl2,2.0
GaF2,2.0
GaH2O2,2.0
GaI2,2.6666666666666665
GaN,2.0
GaNi5Br2,3.0
GaNi5Cl2,3.0
GaNi5I2,3.0
GaO2,2.0
GaP,1.0
GaPd5Br2,3.0
GaPd5Cl2,3.0
GaPd5I2,3.0
GaPt5Br2,3.0
GaPt5Cl2,2.0
GaPt5I2,3.0
GaS2,2.0
GaSe2,3.0
GaTe2,3.0
Ge2,1.0
Ge2H2,1.0
Ge2I2,1.0
Ge2I2N2,1.0
Ge2I2O2,2.0
Ge2I2S2,3.0
Ge2I2Se2,3.0
Ge2P2S6,3.0
Ge2P2Se6,3.0
Ge2P2Te6,1.0
Ge2S2,2.0
Ge2S4,1.0
Ge2Se2,2.0
Ge2Se4,1.0
Ge2Te2,2.0
Ge2Te4,1.0
Ge3O9Sb2,3.0
Ge6N2,1.0
Ge6P2,1.0
Ge6Sb2,1.0
GeH2O2,2.0
GeI2,3.0
GeO,2.0
GeO2,2.6666666666666665
GeS,3.0
GeS2,2.3333333333333335
GeSe,3.0
GeSe2,2.3333333333333335
GeTe,3.0
GeTe2,1.0
H2O2Sb,2.0
H2Si2,1.0
H4O10Si4,3.0
H4O12Te4,3.0
Hf2Br2,2.5
Hf2Br2N2,3.0
Hf2Br2O2,3.0
Hf2Br2S2,3.0
Hf2Br2Se2,3.0
Hf2Br4,3.0
Hf2Br6,3.0
Hf2C,1.0
Hf2CF2,3.0
Hf2CH2O2,2.0
Hf2CO2,3.0
Hf2Cl2,2.5
Hf2Cl2N2,3.0
